id_inscripcion,curso,edad,provincia,nivel_educativo,trabaja,horas_trabajo_semanales,experiencia_previa,modalidad_pago,precio_pagado_ars,precio_pagado_usd,dispositivo_principal,hora_inscripcion,logins_semana_1,logins_semana_2,segundos_video_vistos,mensajes_foro,entregas_a_tiempo,nota_primera_entrega,dias_desde_ultimo_login,logins_semana_6,encuesta_salida_completada,abandono
L01873,Data Analytics,39,Cordoba,Secundario,No,0.0,Si,Cuotas,431000,349.9,Computadora,0,2,4,185376,1,2,6.2,2,4,No,0
L01193,Marketing Digital,17,Cordoba,Secundario,No,0.0,Si,Pago unico,272000,233.0,Computadora,23,7,7,153883,2,2,,0,4,No,0
L03107,Programacion Web,23,CABA,Terciario,No,0.0,No,Cuotas,544000,466.6,Celular,8,3,0,25630,0,2,3.7,6,3,No,0
L03026,Python inicial,17,CABA,Universitario,No,0.0,Si,Beca,17000,14.2,Computadora,5,1,6,98440,0,1,6.5,0,2,No,0
L03182,Data Analytics,38,Buenos Aires,Terciario,Si,39.0,No,Pago unico,363000,296.3,Celular,21,7,3,116304,1,2,5.7,3,1,No,0
L00403,Programacion Web,34,CABA,Universitario,No,0.0,Si,Cuotas,535000,432.6,Computadora,16,6,7,110587,1,2,8.6,5,1,No,1
L00082,Marketing Digital,34,Buenos Aires,Universitario,No,0.0,Si,Beca,35000,28.4,Celular,0,4,11,207208,4,2,6.9,0,5,No,0
L01041,Producto Digital,59,CABA,Secundario,Si,23.0,No,Pago unico,321000,272.8,Celular,9,1,1,56187,0,1,,5,1,No,1
L00558,Programacion Web,17,CABA,Secundario,No,0.0,Si,Cuotas,538000,449.5,Celular,12,3,3,135994,2,2,9.7,0,5,No,0
L00158,UX/UI,24,Santa Fe,Secundario,Si,,Si,Beca,111000,95.1,Celular,23,4,8,160844,1,2,,2,2,No,0
L01104,Python Inicial,30,Buenos Aires,Universitario,Si,27.0,No,Pago unico,231000,189.6,Computadora,19,2,1,20948,1,0,,11,0,Si,1
L01964,Programacion Web,23,Otra,Posgrado,Si,33.0,No,Cuotas,539000,461.2,Tablet,4,8,9,186222,4,2,9.6,2,8,No,0
L00525,Programación Web,17,Cordoba,Terciario,No,0.0,No,Beca,86000,70.6,Computadora,9,0,1,82870,0,2,6.0,2,2,No,0
L01127,UX/UI,30,Otra,Posgrado,Si,24.0,No,Beca,99000,81.6,Computadora,3,9,7,154956,0,1,7.0,4,4,No,0
L02763,Marketing Digital,49,CABA,Universitario,No,0.0,No,Pago unico,284000,230.0,Tablet,9,3,1,74397,1,1,7.3,2,1,No,0
L03145,Python inicial,19,Mendoza,Posgrado,No,0.0,No,Pago unico,235000,202.2,Tablet,18,1,4,122894,0,2,6.7,2,1,No,0
L03081,Data Analytics,31,Buenos Aires,Secundario,No,0.0,No,Cuotas,479000,404.6,Celular,23,4,4,132805,1,2,6.9,2,6,No,0
L03105,Python Inicial,20,CABA,Universitario,Si,38.0,No,Beca,59000,49.0,Computadora,8,4,5,131017,3,2,8.4,0,6,No,0
L02702,Data Analytics,35,Mendoza,Terciario,Si,41.0,Si,Cuotas,426000,343.3,Celular,18,8,4,170986,2,1,8.9,0,4,No,0
L00703,Producto Digital,27,Cordoba,Universitario,No,0.0,No,Cuotas,405000,326.7,Celular,10,2,6,149092,3,2,7.1,0,2,No,0
L00432,Data analytics ,22,Buenos Aires,Posgrado,No,0.0,No,Pago unico,372000,310.6,Celular,20,2,3,79026,1,2,6.3,5,1,No,0
L01217,Data analytics ,28,CABA,Universitario,No,0.0,No,Pago unico,391000,336.0,Computadora,21,5,3,112857,3,1,7.5,1,7,No,0
L01610,Python Inicial,32,Buenos Aires,Secundario,No,0.0,No,Cuotas,273000,228.6,Computadora,8,4,1,79877,1,2,6.8,1,2,No,0
L00071,UX/UI,31,Cordoba,Posgrado,Si,27.0,No,Cuotas,402000,327.2,Computadora,16,1,1,71434,1,2,9.2,1,4,No,0
L00625,Python inicial,25,Buenos Aires,Secundario,Si,57.0,No,Cuotas,277000,232.5,Celular,3,1,0,0,0,0,,14,1,Si,1
L02393,Producto Digital,45,Buenos Aires,Secundario,Si,33.0,No,Pago unico,315000,259.6,Computadora,17,3,2,122889,2,2,6.8,2,4,No,0
L02312,UX/UI,17,CABA,Universitario,No,0.0,Si,Cuotas,429000,346.0,Computadora,14,6,2,111625,1,2,9.0,2,2,No,0
L02416,Marketing Digital,17,Cordoba,Secundario,No,0.0,Si,Pago unico,285000,231.4,Tablet,22,6,8,191111,3,2,8.0,2,4,No,0
L00514,Data Analytics,20,Mendoza,Secundario,No,0.0,No,Pago unico,383000,312.8,Celular,23,7,2,55675,1,2,6.9,5,1,No,0
L00971,Programacion Web,39,Santa Fe,Terciario,Si,27.0,No,Cuotas,544000,456.3,Computadora,23,3,4,153361,3,2,7.7,0,6,No,0
L02743,Marketing Digital,30,Mendoza,Secundario,No,0.0,No,Cuotas,345000,296.8,Computadora,1,1,2,0,0,0,,5,0,Si,1
L02276,UX/UI,43,CABA,Universitario,Si,50.0,No,Pago unico,336000,278.2,Computadora,1,4,7,112636,1,2,8.7,0,0,No,0
L02584,Python Inicial,31,CABA,Universitario,Si,55.0,No,Pago unico,243000,210.7,Tablet,8,2,3,46027,1,0,,5,2,No,0
L00598,Programacion Web,23,CABA,Universitario,No,0.0,Si,Pago unico,422000,340.1,Celular,1,5,6,117746,2,1,5.6,1,0,No,0
L01596,Marketing Digital,33,Cordoba,Universitario,Si,31.0,Si,Cuotas,317000,263.4,Computadora,20,3,4,104917,2,2,5.8,0,3,No,0
L02381,Producto Digital,18,CABA,Secundario,No,0.0,No,Cuotas,371000,315.1,Computadora,20,9,4,159464,4,2,9.1,0,7,No,0
L00178,Data Analytics,19,Buenos Aires,Universitario,No,0.0,Si,Cuotas,462000,400.3,Tablet,17,12,12,201422,1,2,10.0,0,7,No,0
L00153,Marketing Digital,17,CABA,Terciario,No,0.0,Si,Cuotas,342000,296.5,Computadora,3,4,6,160520,2,1,,3,2,No,0
L03078,Data Analytics,27,Mendoza,Universitario,No,0.0,No,Cuotas,442000,353.9,Celular,17,3,6,95499,1,0,7.5,2,4,No,0
L01280,Marketing Digital,26,Buenos Aires,Secundario,No,0.0,No,Cuotas,328000,276.9,Computadora,16,5,2,57142,0,1,,13,0,Si,1
L01903,Producto Digital,21,CABA,Terciario,Si,26.0,No,Cuotas,386000,320.4,Celular,17,5,3,17233,1,2,,1,0,No,1
L01823,UX/UI,34,Cordoba,Posgrado,No,0.0,Si,Pago unico,357000,304.0,Computadora,16,4,3,122379,0,1,7.4,2,3,No,0
L01137,Marketing Digital,36,Santa Fe,Terciario,Si,41.0,No,Pago unico,266000,216.1,Celular,9,4,2,18942,0,0,4.0,9,0,Si,1
L02804,Data Analytics,28,Buenos Aires,Universitario,No,0.0,No,Cuotas,453000,364.4,Celular,11,4,0,103910,0,2,8.3,1,4,No,0
L02698,Marketing Digital,17,CABA,Universitario,No,0.0,No,Beca,91000,77.0,Celular,21,10,9,147194,2,2,9.0,1,2,No,0
L03024,Producto Digital,39,Buenos Aires,Posgrado,No,0.0,No,Cuotas,407000,352.6,Computadora,7,3,1,11880,0,0,,3,0,Si,1
L00262,UX / UI,22,CABA,Posgrado,No,0.0,No,Cuotas,428000,350.7,Celular,1,1,1,10544,0,1,6.2,2,0,No,0
L00373,Python Inicial,37,Santa Fe,Terciario,Si,37.0,Si,Pago unico,235000,198.5,Computadora,1,6,9,88955,1,2,7.5,1,1,No,0
L02398,UX/UI,28,Otra,Universitario,No,0.0,Si,Cuotas,395000,326.3,Celular,3,1,0,45270,1,1,8.6,5,0,No,0
L01400,Python Inicial,43,CABA,Terciario,Si,28.0,Si,Beca,51000,43.6,Computadora,6,1,3,65461,0,0,8.1,0,2,No,0
L02999,UX/UI,33,Mendoza,Secundario,Si,35.0,Si,Cuotas,430000,353.1,Celular,9,9,5,64067,3,0,,1,7,No,0
L03091,Python Inicial,19,CABA,Secundario,Si,42.0,No,Cuotas,265000,220.9,Computadora,21,5,2,61438,0,1,5.2,0,2,No,0
L02719,Data Analytics,33,Buenos Aires,Universitario,No,0.0,No,Pago unico,399000,334.8,Celular,18,10,6,74368,1,2,,3,6,No,0
L03072,Programacion Web,28,Buenos Aires,Universitario,No,0.0,No,Beca,138000,110.8,Computadora,3,4,2,17708,0,0,,2,1,No,0
L02020,Python Inicial,23,Otra,Universitario,Si,52.0,No,Pago unico,240000,193.3,Tablet,21,8,8,235668,3,2,10.0,0,10,No,0
L00840,Marketing Digital,19,Santa Fe,Universitario,Si,31.0,No,Cuotas,331000,283.1,Celular,16,3,6,148521,1,2,8.2,1,0,Si,1
L01014,Python Inicial,22,CABA,Universitario,No,0.0,No,Cuotas,295000,241.2,Celular,18,0,1,44799,0,0,6.3,2,0,No,0
L02342,Marketing Digital,31,Buenos Aires,Secundario,No,0.0,No,Pago unico,281000,243.0,Celular,2,2,5,110499,1,2,8.3,1,5,No,0
L01151,UX/UI,23,CABA,Secundario,No,0.0,No,Cuotas,446000,359.3,Tablet,23,4,3,88454,0,2,4.1,3,0,No,0
L00697,Python Inicial,17,Santa Fe,Posgrado,Si,,No,Beca,22000,17.6,Computadora,22,1,1,115059,1,1,6.8,0,3,No,0
L02659,Producto Digital,33,Buenos Aires,Universitario,No,0.0,No,Cuotas,382000,318.9,Celular,16,1,2,136361,3,1,5.9,9,4,No,0
L00441,Marketing Digital,30,Buenos Aires,Universitario,Si,28.0,No,Cuotas,340000,292.5,Computadora,0,4,2,129833,0,0,7.5,1,4,No,0
L01074,Python Inicial,48,Cordoba,Secundario,Si,40.0,No,Cuotas,267000,224.0,Computadora,15,2,0,0,0,0,,14,0,Si,1
L02351,Programacion Web,44,Otra,Universitario,Si,35.0,Si,Pago unico,416000,348.2,Celular,21,8,3,96052,2,2,9.7,0,6,No,0
L00676,Data Analytics,17,Otra,Secundario,No,0.0,Si,Cuotas,439000,378.1,Computadora,7,5,3,126292,0,2,7.7,5,3,No,0
L01502,Marketing Digital,26,Buenos Aires,Terciario,No,0.0,Si,Cuotas,323000,264.2,Computadora,16,2,3,63732,1,0,7.4,4,5,No,0
L02887,Python Inicial,20,CABA,Universitario,Si,39.0,No,Pago unico,241000,201.6,Computadora,4,2,9,148835,2,2,6.8,3,1,No,0
L01444,Producto Digital,19,Cordoba,Universitario,Si,38.0,No,Cuotas,393000,329.6,Computadora,0,2,4,44343,1,1,3.0,2,0,Si,1
L01651,Data Analytics,17,Cordoba,Secundario,No,0.0,No,Cuotas,434000,350.5,Computadora,15,8,2,125454,3,2,,1,4,No,0
L02228,UX/UI,19,CABA,Universitario,No,0.0,Si,Cuotas,415000,333.4,Computadora,8,3,3,132078,1,2,6.9,1,6,No,0
L00490,Data Analytics,21,Otra,Universitario,No,0.0,No,Cuotas,446000,375.1,Celular,16,1,2,0,0,0,,2,0,No,1
L00052,Programacion Web,41,Buenos Aires,Secundario,No,0.0,Si,Cuotas,510000,428.1,Computadora,3,6,15,161751,4,1,10.0,1,0,Si,1
L03188,marketing digital,17,Santa Fe,Terciario,No,0.0,No,Cuotas,340000,278.3,Tablet,14,3,4,79271,1,1,7.8,4,6,No,0
L00899,Marketing Digital,23,Cordoba,Terciario,No,0.0,No,Cuotas,317000,254.7,Computadora,18,1,1,46813,0,0,4.7,8,2,No,0
L02376,programacion web,30,Mendoza,Universitario,Si,32.0,No,Cuotas,539000,450.9,Celular,21,2,0,311,1,0,,2,0,No,0
L00758,Python Inicial,33,Buenos Aires,Universitario,No,0.0,No,Pago unico,234000,201.5,Computadora,2,2,8,206984,3,2,7.4,0,8,No,0
L02061,Python Inicial,44,Buenos Aires,Terciario,No,0.0,No,Beca,64000,51.2,Computadora,0,2,4,136493,0,2,4.9,1,0,No,1
L00342,Producto Digital,45,CABA,Universitario,Si,51.0,No,Cuotas,407000,338.6,Computadora,22,7,3,102592,2,1,7.4,2,5,No,0
L01345,Marketing Digital,29,CABA,Terciario,No,0.0,No,Pago unico,273000,225.6,Computadora,6,5,3,118697,3,2,7.8,1,5,No,0
L02387,Programacion Web,31,Cordoba,Terciario,Si,34.0,No,Beca,108000,87.3,Celular,15,2,5,0,0,1,,14,1,Si,1
L02463,Mkt Digital,35,CABA,Universitario,No,0.0,No,Cuotas,345000,292.0,Computadora,13,2,6,145779,0,1,8.6,2,4,No,0
L01993,UX/UI,37,Cordoba,Posgrado,Si,39.0,No,Pago unico,352000,299.1,Tablet,14,3,6,114186,3,2,7.5,1,5,No,0
L02988,Programacion Web,38,CABA,Universitario,Si,43.0,No,Pago unico,416000,349.1,Computadora,6,2,0,83384,3,0,5.8,0,3,No,0
L01674,Data Analytics,45,CABA,Secundario,Si,36.0,No,Cuotas,462000,401.4,Computadora,5,3,2,0,0,0,,2,0,Si,1
L02947,Programacion Web,23,CABA,Terciario,No,0.0,Si,Cuotas,546000,450.3,Celular,4,3,0,118168,4,1,6.7,1,9,No,0
L01584,Python Inicial,47,CABA,Terciario,Si,39.0,Si,Pago unico,231000,190.8,Celular,11,1,6,75710,1,1,7.6,1,3,No,0
L01722,Python Inicial,36,CABA,Terciario,Si,49.0,No,Beca,4000,3.3,Celular,19,3,0,0,1,0,6.5,3,1,No,0
L03190,Producto Digital,34,Mendoza,Terciario,No,0.0,No,Cuotas,362000,293.2,Computadora,3,3,1,51637,0,2,8.5,12,0,Si,1
L01590,Python Inicial,48,CABA,Universitario,Si,42.0,Si,Pago unico,235000,194.2,Computadora,11,2,3,90419,1,1,,1,1,No,0
L02701,Producto Digital,27,Buenos Aires,Secundario,Si,28.0,Si,Pago unico,333000,285.2,Celular,10,4,6,158426,3,1,7.0,1,7,No,0
L02502,Data analytics ,29,CABA,Universitario,Si,,No,Pago unico,357000,288.5,Celular,1,6,0,136817,1,2,8.1,0,5,No,0
L01947,Data Analytics,43,Buenos Aires,Secundario,Si,32.0,No,Pago unico,361000,293.2,Computadora,6,4,2,36472,0,1,,2,3,No,0
L02511,Data Analytics,17,CABA,Universitario,No,0.0,Si,Cuotas,427000,347.1,Celular,15,8,6,129261,0,1,8.2,1,6,No,0
L00421,Data Analytics,25,Mendoza,Universitario,Si,38.0,No,Cuotas,427000,347.4,Computadora,18,2,1,75442,0,0,6.1,3,3,No,0
L00567,Producto Digital,43,Otra,Secundario,No,0.0,No,Cuotas,368000,315.2,Celular,1,5,7,132857,1,1,9.2,3,9,No,0
L01790,Programacion Web,17,Cordoba,Terciario,Si,42.0,No,Beca,118000,101.3,Computadora,21,1,7,54848,0,1,6.9,1,4,No,0
L02275,Producto Digital,30,Buenos Aires,Terciario,Si,44.0,No,Cuotas,385000,319.2,Computadora,15,3,1,81518,0,1,,14,3,No,0
L00727,Producto Digital,29,Buenos Aires,Secundario,No,0.0,Si,Cuotas,368000,310.9,Computadora,15,4,1,36805,0,1,7.5,0,5,No,0
L01529,Producto Digital,28,Buenos Aires,Universitario,No,0.0,No,Pago unico,329000,275.5,Tablet,2,3,3,91576,3,1,6.0,5,1,No,0
L02321,Marketing Digital,19,Buenos Aires,Terciario,No,0.0,Si,Beca,6000,4.8,Celular,20,2,0,83292,0,1,5.1,1,2,No,0
L00445,Programacion Web,35,CABA,Universitario,Si,39.0,Si,Cuotas,513000,433.7,Celular,12,4,6,186737,1,2,8.5,1,4,No,0
L02449,UX/UI,37,Santa Fe,Secundario,Si,36.0,Si,Cuotas,421000,338.7,Computadora,20,0,5,118091,1,1,6.6,3,7,No,0
L02331,Python Inicial,22,CABA,Universitario,No,0.0,Si,Beca,74000,63.9,Computadora,2,0,2,0,1,1,,1,1,No,1
L00275,UX/UI,17,Otra,Secundario,No,0.0,Si,Cuotas,439000,358.9,Computadora,15,7,1,63454,1,2,6.3,2,10,No,0
L01675,Python Inicial,23,CABA,Universitario,No,0.0,No,Pago unico,226000,196.5,Computadora,15,11,0,167248,1,1,5.5,9,0,No,1
L02925,Data Analytics,30,Buenos Aires,Universitario,No,0.0,Si,Beca,28000,22.7,Computadora,8,3,1,65152,3,2,6.6,1,2,No,0
L00016,Python Inicial,33,Cordoba,Universitario,Si,30.0,No,Cuotas,284000,227.9,Computadora,9,6,4,175681,5,0,8.7,0,3,No,0
L01397,Data Analytics,24,CABA,Universitario,No,0.0,No,Cuotas,477000,401.4,Celular,10,1,6,129832,4,2,,4,3,No,0
L01797,Producto Digital,38,Mendoza,Universitario,No,0.0,No,Cuotas,403000,331.2,Celular,15,1,5,130785,1,2,8.0,1,3,No,0
L01705,Producto Digital,22,Mendoza,Universitario,Si,26.0,No,Cuotas,392000,314.5,Computadora,6,1,4,0,2,0,,0,0,No,0
L01026,Data Analytics,30,Otra,Universitario,No,0.0,No,Cuotas,461000,400.2,Computadora,21,3,5,79086,1,2,4.4,6,1,No,0
L01570,Data Analytics,22,Buenos Aires,Terciario,No,0.0,No,Cuotas,422000,361.1,Tablet,0,7,3,96893,1,2,,3,5,No,0
L00183,Python Inicial,39,Cordoba,Secundario,Si,46.0,No,Cuotas,285000,232.4,Celular,13,6,0,170905,2,2,4.0,2,3,No,0
L01359,Python Inicial,26,CABA,Universitario,No,0.0,No,Cuotas,288000,233.4,Computadora,17,6,7,178566,1,2,8.1,2,2,No,0
L02814,Data Analytics,32,CABA,Universitario,No,0.0,Si,Pago unico,379000,312.5,Computadora,1,5,5,101891,2,0,8.2,3,3,No,0
L01052,Programacion Web,41,Buenos Aires,Secundario,Si,30.0,No,Pago unico,419000,340.6,Computadora,9,6,2,118871,2,2,6.3,0,10,No,0
L00360,UX/UI,18,CABA,Terciario,No,0.0,No,Cuotas,427000,368.7,Celular,3,5,1,22312,1,0,,4,0,No,1
L00326,Python Inicial,64,Otra,Universitario,Si,48.0,No,Cuotas,295000,255.2,Tablet,15,6,3,129949,0,1,7.1,1,0,Si,1
L02168,Data Analytics,33,CABA,Secundario,Si,49.0,Si,Pago unico,358000,290.9,Computadora,16,1,3,41859,0,0,,14,4,No,0
L02138,Data Analytics,17,CABA,Universitario,No,0.0,No,Cuotas,464000,403.4,Computadora,12,6,4,116544,1,2,8.0,0,6,No,0
L02326,UX/UI,25,Cordoba,Universitario,No,0.0,Si,Cuotas,441000,368.9,Computadora,5,0,1,84548,1,2,5.7,4,3,No,0
L00246,Data Analytics,23,Buenos Aires,Secundario,No,0.0,No,Beca,17000,14.8,Celular,3,2,5,128297,2,2,8.0,4,2,No,0
L03099,Data Analytics,38,Buenos Aires,Secundario,No,0.0,No,Beca,49000,40.7,Computadora,13,4,6,60633,2,1,7.7,0,1,No,0
L00875,Marketing Digital,41,Buenos Aires,Universitario,Si,33.0,No,Cuotas,321000,270.4,Tablet,3,3,1,26494,0,2,,6,0,Si,1
L00343,Data Analytics,29,CABA,Universitario,Si,60.0,No,Beca,24000,20.5,Tablet,17,8,4,95281,1,2,7.7,2,3,No,0
L00739,producto digital,32,Buenos Aires,Universitario,Si,56.0,Si,Pago unico,338000,278.3,Computadora,0,3,4,159304,2,1,5.6,2,4,No,0
L02373,Data Analytics,30,Cordoba,Universitario,Si,38.0,No,Cuotas,449000,360.6,Computadora,9,10,5,192076,2,2,9.8,2,9,No,0
L00487,Data Analytics,28,Buenos Aires,Terciario,No,0.0,No,Cuotas,452000,373.9,Computadora,12,4,4,183598,1,2,5.9,2,4,No,0
L00853,UX/UI,29,CABA,Universitario,No,0.0,No,Cuotas,429000,370.7,Computadora,16,4,2,42883,3,1,,2,4,No,0
L02329,Data Analytics,17,Cordoba,Terciario,No,0.0,No,Beca,57000,47.5,Computadora,1,11,4,108590,0,2,9.7,0,8,No,0
L02380,Marketing Digital,31,Cordoba,Terciario,No,0.0,No,Cuotas,340000,284.6,Computadora,0,1,2,51638,2,1,7.1,7,1,No,1
L02969,Python Inicial,27,Santa Fe,Terciario,No,0.0,No,Cuotas,280000,229.3,Computadora,19,2,1,95270,0,0,5.1,11,1,No,0
L00171,Data Analytics,42,Otra,Universitario,Si,42.0,No,Pago unico,372000,312.9,Celular,11,4,2,55473,0,0,4.9,10,0,Si,1
L01663,UX/UI,28,Otra,Secundario,Si,32.0,No,Cuotas,410000,344.3,Computadora,22,5,7,200623,4,2,8.8,0,7,No,0
L00741,Python Inicial,22,Otra,Universitario,No,0.0,Si,Cuotas,262000,220.1,Celular,18,4,4,142683,1,0,10.0,4,7,No,0
L01016,UX-UI,44,Buenos Aires,Posgrado,Si,35.0,Si,Pago unico,356000,287.6,Celular,12,2,4,50924,1,1,5.8,2,0,No,1
L00226,Programacion Web,28,Otra,Secundario,Si,29.0,No,Cuotas,547000,458.4,Computadora,2,1,6,75660,2,1,,5,3,No,0
L01804,Producto Digital,21,Buenos Aires,Terciario,No,0.0,No,Cuotas,393000,315.9,Celular,21,3,5,109017,0,2,6.7,4,4,No,0
L00497,Marketing Digital,23,CABA,Universitario,Si,,No,Cuotas,311000,257.1,Computadora,13,6,1,50916,0,1,5.6,1,2,No,0
L01796,Python Inicial,35,Cordoba,Secundario,Si,36.0,No,Pago unico,243000,198.9,Computadora,3,6,2,91796,1,1,9.2,1,5,No,0
L00675,Programacion Web,21,Otra,Secundario,Si,,No,Beca,72000,59.5,Computadora,4,3,2,110003,0,2,6.4,5,3,No,0
L01542,Programacion Web,26,CABA,Universitario,No,0.0,No,Beca,81000,68.5,Celular,9,2,4,71343,0,0,,0,1,No,0
L02976,Marketing Digital,30,CABA,Terciario,No,0.0,Si,Pago unico,286000,239.3,Celular,1,1,3,113525,1,1,8.3,1,2,No,0
L00361,Marketing Digital,32,Otra,Terciario,No,0.0,Si,Cuotas,312000,261.5,Computadora,3,2,0,79302,0,1,4.7,14,1,No,1
L02212,Data Analytics,19,CABA,Terciario,No,0.0,No,Cuotas,459000,385.2,Celular,15,3,0,18018,0,1,5.9,4,2,No,0
L00236,Programacion Web,48,Cordoba,Terciario,Si,46.0,No,Pago unico,408000,327.6,Computadora,6,3,7,109286,3,2,8.4,0,7,No,0
L01433,Marketing Digital,17,CABA,Universitario,No,0.0,No,Beca,64000,55.6,Celular,0,1,3,109016,1,0,8.4,0,1,No,0
L02117,Data Analytics,25,Cordoba,Universitario,No,0.0,No,Beca,59000,51.3,Celular,22,6,1,37474,0,0,,3,1,Si,1
L01906,Marketing Digital,24,Cordoba,Universitario,No,0.0,Si,Beca,41000,35.1,Computadora,23,4,2,79940,1,0,,1,4,No,0
L00906,Producto Digital,22,CABA,Secundario,No,0.0,Si,Beca,54000,44.7,Celular,2,1,4,50584,0,1,,3,2,No,0
L02070,Programación Web,22,Buenos Aires,Posgrado,No,0.0,No,Cuotas,520000,419.6,Celular,13,2,1,10512,3,1,,10,0,Si,1
L00386,programacion web,19,Mendoza,Universitario,No,0.0,No,Pago unico,409000,328.0,Computadora,21,1,2,13196,1,0,5.1,14,0,No,1
L00198,Data Analytics,41,Cordoba,Universitario,Si,38.0,No,Beca,73000,62.7,Computadora,11,5,8,111759,2,2,8.6,2,4,No,0
L01303,Producto Digital,21,CABA,Universitario,No,0.0,Si,Cuotas,379000,323.5,Computadora,4,5,7,149468,1,2,7.1,0,6,No,0
L00799,Programacion Web,55,Otra,Terciario,Si,27.0,Si,Pago unico,433000,361.2,Computadora,23,2,0,86483,0,1,8.9,1,3,No,0
L00049,Python Inicial,23,Buenos Aires,Universitario,No,0.0,No,Cuotas,291000,239.7,Computadora,17,4,6,99425,1,2,7.3,0,6,No,0
L01747,Python Inicial,43,Otra,Terciario,Si,32.0,Si,Beca,38000,33.0,Computadora,1,1,2,104329,3,2,,5,0,Si,1
L00660,Producto Digital,40,Cordoba,Secundario,Si,45.0,Si,Cuotas,406000,331.0,Celular,8,1,7,184143,2,2,8.8,1,10,No,0
L01587,Marketing Digital,37,CABA,Secundario,Si,26.0,No,Cuotas,343000,285.9,Computadora,4,1,2,36539,0,0,,11,0,No,1
L00850,Data Analytics,26,Buenos Aires,Terciario,Si,37.0,No,Cuotas,477000,401.7,Celular,1,4,0,37507,1,0,7.4,5,2,No,0
L02413,UX/UI,33,Buenos Aires,Terciario,No,0.0,Si,Cuotas,412000,348.6,Celular,4,2,1,26715,0,0,,6,1,Si,1
L01977,Producto Digital,22,Buenos Aires,Terciario,Si,52.0,Si,Pago unico,308000,251.3,Computadora,20,3,2,94171,2,2,5.9,0,2,No,0
L02167,Data Analytics,43,Buenos Aires,Universitario,Si,40.0,No,Cuotas,472000,386.5,Computadora,5,2,3,75722,3,2,,2,4,No,0
L02907,Data Analytics,42,Buenos Aires,Terciario,Si,35.0,Si,Cuotas,449000,360.7,Computadora,7,8,4,121458,3,1,8.7,1,4,No,0
L00672,Python Inicial,26,Mendoza,Terciario,No,0.0,No,Pago unico,222000,180.2,Tablet,11,1,0,70164,2,0,6.5,12,3,No,0
L00244,UX/UI,24,Buenos Aires,Secundario,No,0.0,No,Pago unico,342000,277.5,Computadora,0,4,2,101300,0,1,8.7,2,3,No,0
L01672,Marketing Digital,40,CABA,Secundario,Si,29.0,Si,Cuotas,336000,288.3,Computadora,4,3,2,146389,1,2,,1,3,No,0
