id_publicacion,genero_musical,oyentes_mensuales_spotify,capacidad_venue,tipo_venue,sector,precio_original,precio_original_con_cargos,dias_hasta_el_show,dia_semana_show,show_agotado_en_preventa,vendedor_verificado,cantidad_entradas_publicadas,cantidad_fotos_publicacion,precio_publicado,se_vendio,comision_plataforma,precio_reventa
P00439,Cumbia,963245,5000,Arena,Platea Alta,32000,38500,7,Martes,No,Si,1.0,3.0,57000,1,9000.0,57000.0
P00711,Pop internacional,109899,1100,Club,PLATEA ALTA,27000,31400,7,Domingo,No,No,1.0,4.0,39000,1,6000.0,39000.0
P00801,Rock nacional,17080018,25000,Estadio,Platea Baja,69000,79600,7,Sabado,Si,Si,2.0,7.0,166000,1,25000.0,166000.0
P00551,Rock nacional,16753387,45000,Estadio,General,29000,34900,3,Sabado,No,Si,2.0,6.0,43000,1,6000.0,43000.0
P00445,Pop internacional,760571,3300,Teatro,Platea Alta,38000,45800,6,Sabado,No,No,6.0,3.0,52000,1,8000.0,52000.0
P01343,Pop internacional,2720617,5000,Arena,Platea Baja,60000,74800,1,Domingo,Si,Si,2.0,8.0,51000,1,8000.0,51000.0
P00149,Rock nacional,101069,1100,Club,General,22000,25600,19,Sabado,No,No,1.0,2.0,31000,1,5000.0,31000.0
P01398,Indie,2856713,15000,Arena,Campo,51000,62000,6,Viernes,No,Si,2.0,1.0,87000,1,13000.0,87000.0
P00944,Pop internacional,153358,1100,Club,Campo,42000,51500,17,Viernes,No,Si,2.0,3.0,76000,1,11000.0,76000.0
P00736,Trap,884801,5000,Arena,platea baja,54000,66200,29,Sabado,No,Si,2.0,7.0,75000,1,11000.0,75000.0
P01369,Trap,40688124,45000,Estadio,general,32000,39300,9,Sabado,No,No,6.0,1.0,53000,1,8000.0,53000.0
P00638,Pop internacional,7838046,15000,Arena,Platea Baja,77000,89900,0,Sabado,No,Si,,8.0,85000,1,13000.0,85000.0
P00807,Cumbia,1641202,15000,Arena,Platea Alta,40000,48900,2,Martes,No,No,1.0,6.0,34000,1,5000.0,34000.0
P00792,Electronica,2979262,8400,Arena,General,29000,35000,24,Miercoles,No,Si,2.0,7.0,46000,1,7000.0,46000.0
P01153,Trap,3322538,15000,Arena,Platea Baja,65000,76600,5,Viernes,Si,Si,2.0,7.0,194000,1,29000.0,194000.0
P00515,Rock nacional,4042706,8400,Arena,Platea Alta,40000,49900,11,Viernes,No,Si,2.0,3.0,92000,1,14000.0,92000.0
P00480,Pop internacional,4148960,25000,Estadio,Platea Baja,57000,69600,2,Domingo,Si,Si,1.0,8.0,68000,1,10000.0,68000.0
P00634,Indie,3273949,8400,Arena,Platea Baja,58000,71200,21,Lunes,Si,No,1.0,1.0,99000,1,15000.0,99000.0
P01326,Indie,1976119,8400,Arena,Campo,54000,65700,23,Domingo,No,No,2.0,4.0,93000,1,14000.0,93000.0
P00218,Pop internacional,7212317,45000,Estadio,Campo,54000,63000,20,Viernes,No,Si,1.0,1.0,102000,1,15000.0,102000.0
P00843,Trap,216928,1100,Club,General,19000,22300,18,Sabado,No,Si,1.0,8.0,33000,1,5000.0,33000.0
P00743,Pop internacional,13361861,15000,Arena,Campo,56000,65100,2,Jueves,No,No,2.0,1.0,63000,1,9000.0,63000.0
P00960,Cumbia,60051,1500,Club,Platea Alta,30000,36900,19,Sabado,Si,No,1.0,8.0,60000,1,9000.0,60000.0
P00814,Rock nacional,558641,3300,Teatro,Campo,44000,53500,20,Sabado,No,Si,2.0,2.0,79000,1,12000.0,79000.0
P01104,Rock nacional,11257922,45000,Estadio,Platea Alta,51000,62700,28,Domingo,Si,Si,1.0,2.0,102000,1,15000.0,102000.0
P00790,Pop internacional,1691283,8400,Arena,Platea Baja,54000,62300,41,Jueves,No,Si,6.0,8.0,69000,1,10000.0,69000.0
P01078,Pop internacional,62164,1100,Club,Platea Baja,48000,56200,11,Viernes,No,No,2.0,7.0,63000,1,9000.0,63000.0
P00754,Trap,428145,1500,Club,Campo,44000,50900,5,Jueves,No,No,2.0,5.0,63000,1,9000.0,63000.0
P01009,Electronica,13524139,25000,Estadio,Campo,48000,58600,25,Martes,No,Si,2.0,7.0,63000,1,9000.0,63000.0
P01275,Trap,35438156,45000,Estadio,Platea Alta,53000,63800,4,Sabado,No,Si,1.0,8.0,103000,1,15000.0,103000.0
P01001,Cumbia,26526609,25000,Estadio,Campo,58000,72300,14,Jueves,Si,No,6.0,6.0,111000,1,17000.0,111000.0
P01190,Rock nacional,305419,1500,Club,Campo,38000,45100,8,Jueves,No,No,3.0,2.0,58000,1,9000.0,58000.0
P00575,Electronica,1106070,3300,Teatro,Platea Baja,56000,66800,16,Viernes,Si,No,1.0,8.0,153000,1,23000.0,153000.0
P01108,Trap,50000,1500,Club,General,22000,26500,41,Sabado,No,Si,1.0,6.0,21000,1,3000.0,21000.0
P00109,Pop internacional,5019093,15000,Arena,Platea Baja,73000,87800,29,Viernes,No,No,2.0,6.0,123000,1,18000.0,123000.0
P00472,Pop internacional,22496509,15000,Arena,campo,56000,65200,10,Sabado,No,Si,1.0,7.0,107000,1,16000.0,107000.0
P00891,Trap,1580270,5000,Arena,General,25000,30000,14,Jueves,No,Si,4.0,4.0,33000,1,5000.0,33000.0
P00721,Trap,60000000,45000,Estadio,Platea Baja,66000,77600,18,Sabado,Si,Si,2.0,5.0,114000,1,17000.0,114000.0
P01109,Rock nacional,4935776,8400,Arena,Campo,45000,55400,26,Sabado,Si,No,2.0,7.0,99000,1,15000.0,99000.0
P01267,Rock nacional,6600206,25000,Estadio,General,31000,38600,5,Sabado,No,No,2.0,3.0,54000,1,8000.0,54000.0
P00426,Cumbia,109285,1500,Club,platea alta,35000,40700,2,Viernes,No,Si,1.0,2.0,29000,1,4000.0,29000.0
P01253,Pop internacional,14887343,45000,Estadio,Palco,177000,220500,15,Sabado,No,Si,1.0,6.0,411000,1,62000.0,411000.0
P00786,Cumbia,10641898,25000,Estadio,Platea Alta,42000,52100,999,Jueves,No,No,2.0,1.0,47000,1,7000.0,47000.0
P00424,Trap,8930377,25000,Estadio,palco,169000,199300,18,Viernes,No,No,2.0,7.0,353000,1,53000.0,353000.0
P01199,Rock nacional,50000,1100,Club,General,22000,26800,15,Viernes,No,No,1.0,7.0,36000,1,5000.0,36000.0
P01242,Pop internacional,14819328,25000,Estadio,General,33000,39900,23,Miercoles,No,Si,4.0,7.0,62000,1,9000.0,62000.0
P00852,Trap,60000000,84000,Estadio,Campo,63000,76200,5,Viernes,No,Si,4.0,3.0,108000,1,16000.0,108000.0
P00385,Rock nacional,1924978,5000,Arena,PLATEA BAJA,56000,66000,15,Sabado,No,Si,2.0,6.0,122000,1,18000.0,122000.0
P00592,Rock nacional,6623430,8400,Arena,Campo,50000,58700,0,Jueves,No,Si,2.0,6.0,42000,1,6000.0,42000.0
P00738,Rock nacional,3570257,15000,Arena,Platea Alta,42000,50200,4,Sabado,No,Si,1.0,6.0,57000,1,9000.0,57000.0
P00209,Rock nacional,3997677,45000,Estadio,Platea Alta,50000,62400,1,Viernes,No,No,1.0,3.0,49000,1,7000.0,49000.0
P00740,Rock nacional,251366,3300,Teatro,Platea Alta,37000,44500,2,Jueves,No,Si,2.0,8.0,44000,1,7000.0,44000.0
P00223,Rock nacional,3043150,15000,Arena,Campo,58000,69800,12,Viernes,No,Si,3.0,3.0,102000,1,15000.0,102000.0
P01044,Cumbia,3242741,15000,Arena,General,28000,34400,6,Jueves,No,No,3.0,7.0,45000,1,7000.0,45000.0
P01214,Rock nacional,142521,1100,Club,Platea Baja,41000,48700,15,Miercoles,No,Si,4.0,3.0,75000,1,11000.0,75000.0
P01004,Indie,2380845,8400,Arena,Platea Baja,59000,70400,0,Domingo,No,Si,1.0,6.0,37000,1,6000.0,37000.0
P01084,Trap,139262,1100,Club,Campo,37000,42900,2,Viernes,Si,Si,,8.0,58000,1,9000.0,58000.0
P00930,Rock nacional,1420149,5000,Arena,General,26000,30100,9,Jueves,No,No,2.0,7.0,41000,1,6000.0,41000.0
P00825,Rock nacional,161070,1100,Club,Platea Alta,29000,34700,8,Sabado,No,No,2.0,,48000,1,7000.0,48000.0
P00690,Cumbia,16497224,45000,Estadio,Campo,60000,71300,8,Jueves,Si,Si,2.0,3.0,112000,1,17000.0,112000.0
P01131,Rock nacional,9645195,25000,Estadio,Palco,172000,210700,3,Domingo,No,No,,6.0,199000,1,30000.0,199000.0
P00278,Cumbia,54469,1100,Club,Platea Baja,47000,55700,21,Martes,No,Si,1.0,2.0,62000,1,9000.0,62000.0
P00355,Cumbia,50000,1100,Club,GENERAL,19000,23100,25,Viernes,No,Si,6.0,3.0,24000,1,4000.0,24000.0
P01106,Cumbia,6190641,15000,Arena,Campo,57000,71000,9,Sabado,Si,Si,2.0,1.0,121000,1,18000.0,121000.0
P00637,Trap,15418608,15000,Arena,Campo,57000,70800,10,Domingo,Si,Si,2.0,8.0,152000,1,23000.0,152000.0
P00425,Rock nacional,1017164,3300,Teatro,General,24000,27700,8,Viernes,No,Si,2.0,8.0,30000,1,4000.0,30000.0
P01085,Trap,62476,1100,Club,General,20000,23500,11,Jueves,No,No,2.0,6.0,25000,1,4000.0,25000.0
P00041,Rock nacional,2550229,15000,Arena,General,27000,31500,11,Viernes,Si,Si,,,60000,1,9000.0,60000.0
P00377,Pop internacional,42931849,45000,Estadio,Campo,61000,75500,19,Jueves,No,Si,1.0,1.0,109000,1,16000.0,109000.0
P00887,Pop internacional,1202673,5000,Arena,Campo,45000,56100,8,Sabado,No,Si,3.0,3.0,76000,1,11000.0,76000.0
P01233,Cumbia,251947,1500,Club,Platea Baja,51000,62500,0,Sabado,No,Si,1.0,4.0,33000,1,5000.0,33000.0
P00429,Trap,17390757,45000,Estadio,Platea Baja,69000,82100,2,Martes,No,No,2.0,6.0,91000,1,14000.0,91000.0
P01344,Trap,696022,5000,Arena,General,25000,30100,2,Viernes,No,Si,1.0,5.0,35000,1,5000.0,35000.0
P00270,Trap,934889,8400,Arena,PLATEA ALTA,40000,46800,19,Viernes,No,Si,2.0,2.0,73000,1,11000.0,73000.0
P00167,Trap,28373389,84000,Estadio,General,35000,40300,46,Sabado,No,Si,1.0,5.0,44000,1,7000.0,44000.0
P00793,Electronica,1077162,5000,Arena,general,25000,28900,7,Domingo,No,Si,2.0,6.0,37000,1,6000.0,37000.0
P01166,Trap,31128304,45000,Estadio,Campo,59000,71500,6,Domingo,Si,No,2.0,4.0,141000,1,21000.0,141000.0
P00848,Pop internacional,2806360,5000,Arena,Campo,46000,53600,17,Viernes,No,No,2.0,3.0,86000,1,13000.0,86000.0
P01045,Trap,27892007,45000,Estadio,Campo,48000,55900,15,Sabado,Si,Si,2.0,1.0,139000,1,21000.0,139000.0
P00284,Trap,5585085,15000,Arena,Platea Alta,50000,59100,6,Miercoles,Si,Si,2.0,5.0,97000,1,15000.0,97000.0
P01071,Trap,92757,1100,Club,Platea Baja,47000,55600,10,Sabado,No,No,2.0,8.0,73000,1,11000.0,73000.0
P00016,Rock nacional,15707225,25000,Estadio,Platea Baja,70000,86700,20,Viernes,No,No,2.0,1.0,129000,1,19000.0,129000.0
P00444,Rock nacional,3520825,8400,Arena,Platea Baja,57000,68900,23,Domingo,No,Si,1.0,5.0,87000,1,13000.0,87000.0
P00046,Pop internacional,3034564,8400,Arena,PALCO,142000,165600,9,Domingo,No,Si,2.0,7.0,288000,1,43000.0,288000.0
P01400,Indie,16287559,25000,Estadio,Platea Baja,64000,74600,3,Viernes,Si,No,1.0,4.0,123000,1,18000.0,123000.0
P00684,Rock nacional,2700127,8400,Arena,Campo,51000,60200,5,Miercoles,No,Si,2.0,6.0,89000,1,13000.0,89000.0
P00247,Trap,3422701,8400,Arena,Campo,50000,59700,6,Sabado,Si,No,,8.0,87000,1,13000.0,87000.0
P00860,Rock nacional,957171,5000,Arena,Campo,42000,51600,14,Viernes,Si,Si,2.0,6.0,106000,1,16000.0,106000.0
P00522,Cumbia,7908538,45000,Estadio,Campo,67000,83000,3,Viernes,No,Si,2.0,3.0,96000,1,14000.0,96000.0
P01135,Cumbia,60000000,84000,Estadio,platea baja,70000,86700,18,Martes,Si,No,1.0,7.0,111000,1,17000.0,111000.0
P01107,Pop internacional,805319,3300,Teatro,Platea Baja,52000,63100,8,Domingo,No,Si,1.0,1.0,84000,1,13000.0,84000.0
P00574,Pop internacional,3641346,8400,Arena,Platea Baja,58000,70700,10,Miercoles,No,Si,1.0,,94000,1,14000.0,94000.0
P01322,Cumbia,54573833,45000,Estadio,Platea Alta,55000,68500,22,Viernes,No,No,1.0,6.0,69000,1,10000.0,69000.0
P00755,Cumbia,129464,1100,Club,Platea Alta,27000,32600,12,Domingo,No,Si,1.0,5.0,48000,1,7000.0,48000.0
P00437,Cumbia,10771624,25000,Estadio,Campo,51000,60200,2,Sabado,No,Si,2.0,3.0,57000,1,9000.0,57000.0
P01097,Trap,7737753,25000,Estadio,PALCO,172000,210300,8,Miercoles,No,No,1.0,3.0,333000,1,50000.0,333000.0
P00918,Cumbia,7916788,25000,Estadio,general,33000,39200,2,Sabado,No,No,2.0,5.0,50000,1,8000.0,50000.0
P00607,Trap,6042563,45000,Estadio,Campo,63000,74500,11,Sabado,No,No,1.0,1.0,153000,1,23000.0,153000.0
P00656,Rock nacional,739822,1500,Club,Campo,42000,49400,2,Jueves,No,Si,2.0,2.0,33000,1,5000.0,33000.0
P00024,Indie,50000,1100,Club,Campo,35000,41800,10,Viernes,No,No,2.0,5.0,59000,1,9000.0,59000.0
P00008,Trap,237159,1500,Club,Campo,35000,40500,8,Miercoles,No,Si,2.0,8.0,63000,1,9000.0,63000.0
P01368,Rock nacional,58599,1100,Club,Campo,39000,48600,3,Miercoles,No,No,2.0,1.0,35000,1,5000.0,35000.0
P01053,Cumbia,46256456,45000,Estadio,General,35000,41100,2,Martes,No,Si,2.0,8.0,39000,1,6000.0,39000.0
P01261,Pop internacional,21017503,84000,Estadio,Pl. Alta,51000,61800,16,Sabado,Si,No,,4.0,122000,1,18000.0,122000.0
P01144,Indie,77180,1500,Club,Campo,37000,45300,17,Jueves,Si,Si,3.0,8.0,77000,1,12000.0,77000.0
P00811,Indie,425808,3300,Teatro,Campo,48000,58400,18,Domingo,No,Si,2.0,3.0,74000,1,11000.0,74000.0
P01163,Pop internacional,242035,1100,Club,Platea Alta,35000,43100,35,Jueves,No,No,1.0,7.0,46000,1,7000.0,46000.0
P00204,Electronica,7361160,15000,Arena,campo,57000,66800,16,Domingo,No,No,1.0,6.0,106000,1,16000.0,106000.0
P00794,Cumbia,79856,1500,Club,Campo,36000,42500,6,Jueves,No,Si,2.0,6.0,45000,1,7000.0,45000.0
P01393,Pop internacional,59355,1100,Club,Platea Baja,53000,65600,45,Sabado,No,Si,2.0,,57000,1,9000.0,57000.0
P00502,Pop internacional,465118,3300,Teatro,Platea Alta,40000,48600,23,Domingo,No,Si,2.0,6.0,60000,1,9000.0,60000.0
P01126,Trap,175980,1100,Club,General,22000,25400,29,Martes,No,No,2.0,5.0,36000,1,5000.0,36000.0
P00593,Cumbia,60000000,84000,Estadio,General,34000,40300,13,Sabado,Si,No,3.0,2.0,82000,1,12000.0,82000.0
P01088,Rock nacional,347042,3300,Teatro,Palco,139000,163600,2,Lunes,No,Si,1.0,8.0,108000,1,16000.0,108000.0
P00134,Rock nacional,12764915,45000,Estadio,General,31000,36600,13,Domingo,Si,Si,3.0,4.0,85000,1,13000.0,85000.0
P00157,Rock nacional,10131563,25000,Estadio,CAMPO,62000,77300,31,Miercoles,No,No,2.0,7.0,85000,1,13000.0,85000.0
P01301,Electronica,41114580,45000,Estadio,Platea Alta,53000,64700,2,Viernes,No,Si,2.0,5.0,60000,1,9000.0,60000.0
P00096,Cumbia,12228005,15000,Arena,general,30000,36700,8,Viernes,No,Si,4.0,3.0,63000,1,9000.0,63000.0
P00255,Rock nacional,11672552,15000,Arena,Platea Alta,41000,47300,27,Miercoles,No,Si,1.0,6.0,64000,1,10000.0,64000.0
P01375,Trap,352806,3300,Teatro,General,25000,30700,2,Lunes,No,Si,4.0,7.0,25000,1,4000.0,25000.0
P01372,Electronica,8241256,15000,Arena,Campo,53000,63800,2,Sabado,No,Si,2.0,5.0,79000,1,12000.0,79000.0
P00289,Rock nacional,3737604,8400,Arena,Platea Baja,62000,77500,6,Viernes,No,Si,3.0,8.0,94000,1,14000.0,94000.0
P00058,Indie,1518138,5000,Arena,Platea Alta,37000,43000,35,Jueves,No,Si,6.0,2.0,43000,1,6000.0,43000.0
P00969,Pop internacional,50948526,45000,Estadio,Platea Baja,66000,78800,0,Viernes,No,No,4.0,6.0,66000,1,10000.0,66000.0
P00004,Rock nacional,646749,5000,Arena,Platea Alta,35000,43700,17,Miercoles,No,No,6.0,1.0,53000,1,8000.0,53000.0
P00127,Trap,8322953,15000,Arena,general,31000,36300,29,Miercoles,No,Si,2.0,2.0,54000,1,8000.0,54000.0
P00236,Trap,864166,3300,Teatro,campo,41000,51000,17,Domingo,No,No,2.0,8.0,92000,1,14000.0,92000.0
P00488,Trap,3099921,8400,Arena,Platea Baja,62000,77200,18,Viernes,No,No,,3.0,106000,1,16000.0,106000.0
P01273,Cumbia,114378,1500,Club,General,22000,26000,19,Domingo,Si,No,2.0,8.0,42000,1,6000.0,42000.0
P00203,Rock nacional,176192,1500,Club,General,24000,29400,32,Viernes,No,Si,1.0,7.0,40000,1,6000.0,40000.0
P01319,Rock nacional,9600557,15000,Arena,Platea Baja,65000,78200,11,Jueves,No,Si,2.0,3.0,131000,1,20000.0,131000.0
P00596,Pop internacional,481590,1500,Club,GENERAL,20000,25000,2,Viernes,Si,No,1.0,2.0,34000,1,5000.0,34000.0
P00448,Rock nacional,332231,1500,Club,Platea Baja,48000,55500,42,Sabado,Si,Si,2.0,5.0,78000,1,12000.0,78000.0
P01158,Electronica,777543,8400,Arena,General,30000,37500,21,Sabado,No,No,2.0,2.0,42000,1,6000.0,42000.0
P01022,Rock nacional,20510191,25000,Estadio,Platea Baja,71000,86400,24,Viernes,No,Si,2.0,4.0,132000,1,20000.0,132000.0
P00471,Electronica,1429284,5000,Arena,Campo,43000,52300,3,Jueves,No,Si,1.0,4.0,57000,1,9000.0,57000.0
P00954,Indie,2519728,8400,Arena,Platea Baja,58000,72100,21,Jueves,No,Si,,5.0,105000,1,16000.0,105000.0
P00493,Indie,1559863,15000,Arena,Platea Alta,45000,54200,6,Miercoles,No,No,1.0,2.0,70000,1,10000.0,70000.0
P00983,Pop internacional,1892705,8400,Arena,Campo,44000,52800,14,Sabado,No,No,1.0,,115000,1,17000.0,115000.0
P01283,Rock nacional,4962276,15000,Arena,Platea Alta,43000,53600,10,Miercoles,Si,Si,2.0,1.0,112000,1,17000.0,112000.0
P01122,Trap,150425,1100,Club,General,22000,25900,12,Viernes,Si,Si,2.0,5.0,54000,1,8000.0,54000.0
P01315,Indie,2722001,15000,Arena,Campo,51000,59200,27,Viernes,No,No,1.0,7.0,73000,1,11000.0,73000.0
P00777,Pop internacional,2095194,15000,Arena,Platea Baja,69000,83900,27,Sabado,No,Si,1.0,5.0,131000,1,20000.0,131000.0
P00692,Pop internacional,4723726,8400,Arena,Platea Alta,42000,51800,32,Lunes,No,No,1.0,6.0,67000,1,10000.0,67000.0
P00590,Rock nacional,1568405,5000,Arena,Platea Alta,38000,44700,17,Sabado,No,Si,2.0,4.0,71000,1,11000.0,71000.0
P00723,Indie,60000000,84000,Estadio,Platea Baja,88000,103000,15,Viernes,Si,No,2.0,8.0,233000,1,35000.0,233000.0
P00617,Trap,1253856,5000,Arena,CAMPO,50000,60100,10,Viernes,No,Si,2.0,4.0,102000,1,15000.0,102000.0
P01073,Trap,89987,1500,Club,Campo,38000,44900,25,Viernes,No,No,2.0,3.0,69000,1,10000.0,69000.0
P00822,Rock nacional,12201076,15000,Arena,General,27000,32200,11,Jueves,No,No,2.0,6.0,53000,1,8000.0,53000.0
P00150,Rock nacional,158912,3300,Teatro,General,27000,32600,22,Jueves,No,Si,2.0,3.0,39000,1,6000.0,39000.0
P00496,Indie,3506694,25000,Estadio,Platea Alta,43000,53200,3,Jueves,No,No,1.0,5.0,48000,1,7000.0,48000.0
P00287,Indie,2297866,15000,Arena,Campo,55000,64500,14,Jueves,Si,No,1.0,6.0,137000,1,21000.0,137000.0
P00107,Indie,4265766,8400,Arena,Campo,50000,60400,4,Martes,Si,Si,2.0,5.0,82000,1,12000.0,82000.0
P01320,Rock nacional,8793296,45000,Estadio,Palco,172000,208000,11,Sabado,Si,Si,1.0,4.0,441000,1,66000.0,441000.0
P01187,Rock nacional,60000000,84000,Estadio,Campo,58000,72200,12,Viernes,No,Si,6.0,1.0,126000,1,19000.0,126000.0
P00012,Indie,60000000,45000,Estadio,Palco,189000,224100,24,Viernes,No,Si,2.0,8.0,339000,1,51000.0,339000.0
P00864,Indie,3440432,8400,Arena,Campo,45000,53600,39,Sabado,Si,No,2.0,8.0,59000,1,9000.0,59000.0
P00532,Trap,20982052,45000,Estadio,Palco,172000,202000,3,Viernes,No,No,2.0,1.0,261000,1,39000.0,261000.0
P00105,Indie,6506789,15000,Arena,General,30000,36600,14,Domingo,Si,No,2.0,,65000,1,10000.0,65000.0
